,Recency,T,Frequency,Monetary,expctd_num_of_purch,conditional_probability_alive,expct_avg_spend,cltv_half_year,Period
266821,242,1050,3,727.8266666666667,0.03950891615940202,0.05438239749099951,798.5968409277928,30.495367557736916,2014-12-02
266822,952,1367,8,3454.5062500000004,0.3510482510132343,0.35430903676465775,3571.8935236677926,1211.8377723315382,2014-12-02
266823,461,918,3,2994.5500000000006,0.23279790761997537,0.3012881018372049,3282.283739265459,738.5572800657724,2014-12-02
266824,486,1117,4,1517.7175,0.11204594608053284,0.14291473848967456,1624.9339101943708,175.96880835661324,2014-12-02
266825,743,1083,3,4014.0966666666664,0.35513466957403195,0.49613090082438377,4399.418177776778,1510.0640407286564,2014-12-02
266827,1202,1233,6,2088.4500000000003,0.7601918230947797,0.8483060501107106,2184.362157500042,1604.8699069735808,2014-12-02
266829,734,1278,3,3057.1666666666665,0.19692119962562546,0.29903009184738905,3350.8938745786536,637.7319601049542,2014-12-02
266830,636,1220,3,4354.436666666667,0.16387938866053398,0.24293274565844586,4772.334442655558,755.8687734091857,2014-12-02
266831,882,1186,2,830.9599999999999,0.3407674226235614,0.5606667936698094,958.0027174165084,315.514040517831,2014-12-02
266833,94,1148,2,1160.25,0.012820226428511276,0.020751308922240735,1336.94698268591,16.565634557441278,2014-12-02
266835,689,1340,3,2507.2450000000003,0.13526674569303743,0.21063165551605192,2748.3354509162987,359.2853871825394,2014-12-02
266836,589,1349,4,2770.51125,0.07374253711245106,0.10364399669115526,2965.560960898462,211.3506787791473,2014-12-02
266838,0,847,1,2844.27,0.03160045940563563,0.0508832687286868,3858.4703157374292,117.8542673208054,2014-12-02
266841,1062,1338,7,3848.557142857143,0.5497968795126895,0.5909368851503363,3998.692548692631,2124.72081677379,2014-12-02
266842,693,1140,3,1752.53,0.26181831348297857,0.37506503054684903,1921.3815258766692,486.19876419141065,2014-12-02
266843,1201,1292,6,2062.6666666666665,0.7026637857413576,0.803439465309577,2157.401232412548,1465.0897824899143,2014-12-02
266844,393,991,2,4779.6775,0.13363271802803295,0.20157878879390173,5502.154838021226,710.6623270782202,2014-12-02
266845,190,1380,2,3181.295,0.010050195163123981,0.017903918761507837,3662.749201403142,35.57587432047432,2014-12-02
266846,591,989,5,4427.293,0.3193586920694294,0.3492964306494362,4672.815555828693,1442.3752975434913,2014-12-02
266847,293,712,2,1620.4824999999998,0.24027518810039494,0.3153930248979078,1866.5788165272038,433.52673566214645,2014-12-02
266848,0,1087,1,1255.28,0.012587761350994455,0.022695647477967942,1705.1738185979377,20.745370575422573,2014-12-02
266849,4,1385,2,6356.512500000001,0.002667038377689856,0.00476055318131035,7316.76378614014,18.859133310712433,2014-12-02
266851,758,1300,2,3309.4750000000004,0.1937489438949724,0.33427678552957296,3810.257707346936,713.4695546188932,2014-12-02
266852,378,1078,4,2019.94,0.06966385851477251,0.08733407897349967,2162.367201965052,145.59469876395434,2014-12-02
266853,782,1092,4,2205.58,0.4171569522908791,0.5262409467292162,2361.0224121245114,951.9331765777035,2014-12-02
266854,720,1205,5,2426.138,0.2408086203935171,0.289857185794179,2560.9719370918974,596.0343651002752,2014-12-02
266855,902,1282,4,3218.8650000000002,0.34544499456386485,0.47255044986143135,3445.3487675782285,1150.2641023450892,2014-12-02
266856,469,1388,4,2655.59125,0.030549235052717408,0.04360397726416138,2842.5839260378443,83.92446599695492,2014-12-02
266857,925,1263,5,3009.136,0.41334377716888077,0.509736544299531,3176.216936123114,1268.8483885910434,2014-12-02
266858,510,1176,2,3205.605,0.11659627858025888,0.1910183346147143,3690.7249525304132,415.9023476211728,2014-12-02
266860,401,1006,2,5014.49,0.13121470986258715,0.19931268637934396,5772.375161409642,732.0702705656399,2014-12-02
266861,0,562,1,5502.9,0.10446698952360657,0.14429456290774378,7461.2737733991935,753.4941585998099,2014-12-02
266862,782,1277,4,3187.64875,0.23857615412923325,0.32569120743930263,3411.9439480127235,786.7104363291464,2014-12-02
266863,1118,1403,4,1385.94625,0.4233757495041349,0.6078567723795884,1483.924185125826,607.1712863735096,2014-12-02
266864,821,1368,5,3966.2869999999994,0.20118334154202808,0.25885096354163256,4186.310223008709,813.9560918490287,2014-12-02
266865,626,1380,5,3676.114,0.06864986308071884,0.08874707273517236,3880.0870676910486,257.42904312466555,2014-12-02
266866,761,1407,2,1409.98,0.14584832789178234,0.26258492151651164,1624.3342442660598,228.95399381825973,2014-12-02
266867,808,1425,4,2917.2000000000003,0.15924344556979894,0.23059466628471237,3122.5340510691067,480.5518293695577,2014-12-02
266870,344,978,3,1785.6800000000003,0.10230505713167945,0.13622873095665505,1957.7045386895377,193.5819494284501,2014-12-02
266872,288,1389,2,1939.8274999999999,0.017758077876580364,0.031747281676882955,2234.0784563354487,38.3413526260244,2014-12-02
266875,426,1129,2,2673.5475,0.09467060810406533,0.15197511685176893,3078.437490358545,281.6734507589486,2014-12-02
266878,944,1317,4,3249.52875,0.35220779658144524,0.4887081285844504,3478.1623513992104,1183.942772331413,2014-12-02
266881,182,1169,2,2078.505,0.02118633032718626,0.034605241428464946,2393.6674002660193,49.01345722005316,2014-12-02
266882,0,338,1,2302.82,0.27183463893522164,0.3265437634045327,3124.7322882003286,821.220467965012,2014-12-02
266883,850,1283,6,4054.9816666666666,0.31191022088274617,0.3553353687924215,4240.710429530457,1278.3650947117862,2014-12-02
266885,531,1262,4,1139.53125,0.07687120572658095,0.10429436806030817,1220.2330430689242,90.65547454608914,2014-12-02
266886,0,584,1,2143.7,0.09499731957455401,0.13289375311246743,2909.1031535771804,267.14912111018157,2014-12-02
266887,548,1075,4,2068.28375,0.18569908833810875,0.23248947615071502,2214.1003296107447,397.38917431932134,2014-12-02
266888,964,1333,4,2690.95125,0.35582005904533964,0.4969099766338679,2880.423013687265,990.5285428438942,2014-12-02
266889,0,555,1,2532.66,0.10767791224648166,0.14812404493037204,3436.1965937670975,357.6794091596129,2014-12-02
266891,433,859,2,3016.65,0.2473990401250914,0.3502700642229613,3473.2770687684415,830.5655615694467,2014-12-02
266892,671,1302,3,1279.5900000000001,0.14289280186926684,0.2191233508869001,1403.1732097464187,193.7778840726072,2014-12-02
266894,782,1178,2,5751.525,0.2813489558264255,0.4613256355233077,6620.549070586456,1800.2552783677932,2014-12-02
266895,878,1302,6,3352.3858333333337,0.32548134840284343,0.37367927286583935,3506.025220896254,1102.8739008083157,2014-12-02
266896,735,1242,4,3113.61375,0.22448175061944417,0.30204833732198666,3332.7183582467487,723.0516839188247,2014-12-02
266897,0,1039,1,540.345,0.015027077281204858,0.02651433323894663,736.3401373397659,10.694561718246899,2014-12-02
266900,1247,1430,4,2832.9437500000004,0.49135559810754087,0.7128906524579167,3032.370600029471,1439.9559650880763,2014-12-02
266901,795,1169,4,2081.82,0.34907639561716836,0.4554176586375217,2228.5856053515386,751.878332313878,2014-12-02
266902,199,1208,3,1745.9000000000003,0.014535188132626775,0.021438098417216913,1914.116923314096,26.889432183402516,2014-12-02
266903,398,922,2,4269.72,0.17466499539621713,0.25501561507205517,4915.299876874151,829.8184746252616,2014-12-02
266904,417,1369,5,3033.446,0.01765401164745281,0.022723380087916432,3201.8715797521636,54.62919157390189,2014-12-02
266906,928,1327,5,1606.449,0.3466566302708575,0.4387894158538392,1695.9439987269309,568.1887209877309,2014-12-02
266907,412,1185,2,2703.3825,0.07248638033134071,0.11921142953616899,3112.7713667420144,218.07085577592977,2014-12-02
266910,929,1338,6,1801.8866666666665,0.34785723839679533,0.40520738122155875,1884.7107329561823,633.617014880984,2014-12-02
266911,1106,1229,3,5477.8533333333335,0.4985567120420392,0.7418500319117588,6003.28098798053,2892.6338248788147,2014-12-02
266915,242,1180,4,2933.4987499999997,0.016171081685245885,0.021197040420723033,3139.975505532511,49.07517379481334,2014-12-02
266916,730,1253,5,5436.378999999999,0.20850006463171056,0.25606160869519695,5737.716490467257,1156.204116822004,2014-12-02
