cust_id,RFM_Level_Dec_2014,RFM_Level_May_2014,RFM_Level_Dec_2013
267173,Top,Top,Top
267174,Top,Middle,Top
267176,Middle,Middle,Middle
267177,Top,Top,Top
267178,Top,Top,Middle
267179,Middle,Middle,Middle
267180,Middle,Middle,Middle
267181,Middle,Middle,Middle
267182,Middle,Middle,Top
267183,Top,Top,Top
267188,Top,Top,Middle
267189,Middle,Middle,Middle
267191,Middle,Middle,Middle
267192,Middle,Middle,Middle
267193,Top,Top,Top
267196,Middle,Middle,Middle
267199,Middle,Top,Top
267203,Middle,Middle,Top
267205,Middle,Middle,Middle
267207,Middle,Middle,Middle
267208,Top,Top,Top
267209,Middle,Middle,Middle
267210,Top,Top,Top
267211,Top,Top,Top
267212,Top,Top,Top
267214,Middle,Middle,Middle
267215,Top,Top,Top
267216,Top,Top,Top
267217,Top,Middle,Top
267220,Top,Top,Top
267222,Middle,Middle,Middle
267224,Top,Middle,Middle
267226,Top,Top,Top
267227,Top,Top,Top
267228,Middle,Middle,Middle
267230,Top,Top,Top
267231,Low,Middle,Middle
267232,Top,Top,Middle
267233,Middle,Middle,Middle
267234,Top,Top,Top
267235,Top,Top,Top
267236,Top,Top,Top
267237,Top,Top,Top
267239,Top,Top,Middle
267240,Middle,Middle,Top
267241,Top,Top,Top
267242,Middle,Middle,Middle
267243,Top,Top,Top
267244,Low,Middle,Middle
267245,Middle,Middle,Middle
267246,Top,Top,Top
267247,Top,Top,Top
267248,Middle,Middle,Middle
267251,Low,Low,Middle
267252,Top,Middle,Middle
267254,Middle,Middle,Middle
267255,Middle,Middle,Middle
267256,Top,Top,Top
267257,Middle,Middle,Top
267258,Top,Top,Top
267260,Middle,Middle,Middle
267261,Top,Top,Top
267263,Top,Top,Middle
267264,Top,Top,Top
267265,Top,Top,Top
267266,Top,Top,Top
267268,Top,Top,Top
267269,Low,Low,Low
267270,Middle,Middle,Middle
267272,Top,Top,Top
267273,Low,Low,Low
267277,Middle,Middle,Middle
267278,Top,Top,Top
267279,Middle,Middle,Low
267280,Top,Top,Top
267281,Top,Top,Middle
267282,Top,Top,Top
267284,Middle,Middle,Middle
267285,Middle,Top,Top
267286,Top,Top,Top
267287,Top,Top,Top
267289,Middle,Middle,Middle
267291,Middle,Middle,Top
267293,Top,Top,Top
267294,Top,Top,Top
267295,Middle,Middle,Middle
267296,Middle,Top,Top
267297,Top,Middle,Top
267298,Middle,Middle,Top
267300,Middle,Middle,Middle
267301,Top,Top,Top
267302,Top,Top,Top
267304,Top,Top,Middle
267306,Top,Middle,Top
267307,Top,Top,Top
267308,Top,Top,Top
267309,Top,Top,Top
267312,Middle,Middle,Middle
267316,Top,Top,Top
267317,Top,Top,Top
267318,Top,Top,Top
267320,Top,Top,Top
267322,Top,Top,Top
267323,Top,Top,Top
267324,Middle,Middle,Middle
267325,Middle,Middle,Middle
267326,Top,Top,Top
267327,Top,Top,Top
267328,Top,Top,Middle
267329,Middle,Top,Top
267330,Low,Middle,Middle
267331,Middle,Middle,Middle
267332,Middle,Middle,Middle
267333,Middle,Middle,Middle
267335,Top,Top,Middle
267337,Top,Top,Top
267338,Middle,Middle,Top
267339,Top,Top,Top
267341,Top,Top,Top
267343,Top,Top,Middle
267344,Top,Top,Top
267345,Middle,Middle,Top
