RFM_Score_Name,Count,Period
Top,0.5639302579004722,2014-12-02
Middle,0.3841264075553941,2014-12-02
Low,0.05194333454413367,2014-12-02
Top,0.5734812659148781,2014-05-02
Middle,0.3765005456529647,2014-05-02
Low,0.05001818843215715,2014-05-02
Top,0.5405603369346274,2013-12-02
Middle,0.40212415308551547,2013-12-02
Low,0.05731550997985717,2013-12-02
